75	q3	(50.5, 75.25]
85	q4	(75.25, 100.0]
44	q2	(25.75, 50.5]
63	q3	(50.5, 75.25]
27	q2	(25.75, 50.5]
83	q4	(75.25, 100.0]
90	q4	(75.25, 100.0]
67	q3	(50.5, 75.25]
77	q4	(75.25, 100.0]
69	q3	(50.5, 75.25]
88	q4	(75.25, 100.0]
72	q3	(50.5, 75.25]
8	q1	(0.999, 25.75]
60	q3	(50.5, 75.25]
18	q1	(0.999, 25.75]
37	q2	(25.75, 50.5]
45	q2	(25.75, 50.5]
34	q2	(25.75, 50.5]
28	q2	(25.75, 50.5]
65	q3	(50.5, 75.25]
70	q3	(50.5, 75.25]
54	q3	(50.5, 75.25]
23	q1	(0.999, 25.75]
91	q4	(75.25, 100.0]
22	q1	(0.999, 25.75]
49	q2	(25.75, 50.5]
16	q1	(0.999, 25.75]
58	q3	(50.5, 75.25]
36	q2	(25.75, 50.5]
12	q1	(0.999, 25.75]
43	q2	(25.75, 50.5]
33	q2	(25.75, 50.5]
32	q2	(25.75, 50.5]
24	q1	(0.999, 25.75]
2	q1	(0.999, 25.75]
13	q1	(0.999, 25.75]
46	q2	(25.75, 50.5]
52	q3	(50.5, 75.25]
66	q3	(50.5, 75.25]
39	q2	(25.75, 50.5]
98	q4	(75.25, 100.0]
68	q3	(50.5, 75.25]
30	q2	(25.75, 50.5]
64	q3	(50.5, 75.25]
61	q3	(50.5, 75.25]
99	q4	(75.25, 100.0]
10	q1	(0.999, 25.75]
97	q4	(75.25, 100.0]
92	q4	(75.25, 100.0]
96	q4	(75.25, 100.0]
7	q1	(0.999, 25.75]
19	q1	(0.999, 25.75]
100	q4	(75.25, 100.0]
74	q3	(50.5, 75.25]
5	q1	(0.999, 25.75]
89	q4	(75.25, 100.0]
50	q2	(25.75, 50.5]
84	q4	(75.25, 100.0]
1	q1	(0.999, 25.75]
62	q3	(50.5, 75.25]
41	q2	(25.75, 50.5]
79	q4	(75.25, 100.0]
59	q3	(50.5, 75.25]
71	q3	(50.5, 75.25]
31	q2	(25.75, 50.5]
95	q4	(75.25, 100.0]
73	q3	(50.5, 75.25]
55	q3	(50.5, 75.25]
93	q4	(75.25, 100.0]
26	q2	(25.75, 50.5]
14	q1	(0.999, 25.75]
25	q1	(0.999, 25.75]
94	q4	(75.25, 100.0]
42	q2	(25.75, 50.5]
47	q2	(25.75, 50.5]
82	q4	(75.25, 100.0]
80	q4	(75.25, 100.0]
56	q3	(50.5, 75.25]
57	q3	(50.5, 75.25]
20	q1	(0.999, 25.75]
86	q4	(75.25, 100.0]
29	q2	(25.75, 50.5]
21	q1	(0.999, 25.75]
53	q3	(50.5, 75.25]
3	q1	(0.999, 25.75]
81	q4	(75.25, 100.0]
35	q2	(25.75, 50.5]
38	q2	(25.75, 50.5]
6	q1	(0.999, 25.75]
11	q1	(0.999, 25.75]
40	q2	(25.75, 50.5]
15	q1	(0.999, 25.75]
17	q1	(0.999, 25.75]
51	q3	(50.5, 75.25]
76	q4	(75.25, 100.0]
87	q4	(75.25, 100.0]
78	q4	(75.25, 100.0]
48	q2	(25.75, 50.5]
4	q1	(0.999, 25.75]
9	q1	(0.999, 25.75]
